@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,3,26,23,-1,9,6,3,9,316,1,False,True,False,False,10,1,7,22,2278,East,East,2377
4,3,27,24,-1,8,5,3,8,315,1,False,True,False,False,15,1,6,23,2377,East,East,2476
4,3,28,25,-1,7,4,3,7,314,1,False,True,False,False,2,1,5,24,2476,East,East,2575
4,3,29,26,-1,6,3,3,6,313,1,False,True,False,False,12,1,4,25,2575,East,East,2674
4,3,30,27,-1,5,2,3,5,312,1,False,True,False,False,13,1,3,26,2674,East,East,2773
4,3,31,28,-1,4,1,3,4,311,1,False,True,False,False,2,1,2,27,2773,East,East,2872
4,3,32,29,-1,3,0,3,3,310,1,False,True,True,False,13,1,1,28,2872,East,East,2971
4,3,31,28,-1,2,0,2,2,309,1,False,False,True,False,12,2,1,9,2971,East,North,3070
4,3,30,27,-1,1,0,1,1,308,2,False,False,True,True,11,3,1,1,3070,North,North,3269
4,2,29,26,-1,-1,26,0,26,308,1,False,False,True,False,10,4,1,9,3269,North,North,3368
4,2,28,25,-1,-1,25,0,25,307,1,False,True,False,False,2,1,2,8,3368,North,West,3467
4,2,27,24,-1,-1,24,0,24,306,1,False,False,False,False,10,4,3,7,3467,West,West,3566
4,2,26,23,-1,-1,23,0,23,305,1,False,False,False,False,9,4,4,6,3566,West,West,3665
4,2,25,22,-1,-1,22,0,22,304,1,False,True,False,False,2,1,5,5,3665,West,West,3764
4,2,24,21,-1,-1,21,0,21,303,1,False,False,False,False,12,4,6,4,3764,West,West,3863
4,2,23,20,-1,-1,20,0,20,302,1,False,False,False,False,7,4,7,3,3863,West,West,3962
4,2,22,19,-1,-1,19,0,19,301,1,False,True,False,False,2,1,8,2,3962,West,West,4061
4,2,21,18,-1,-1,18,0,18,300,1,False,False,False,True,3,4,9,1,4061,West,West,4160
4,2,20,19,-1,-1,18,1,19,299,1,False,False,False,False,2,5,9,12,4160,West,North,4259
4,2,19,18,-1,-1,17,1,18,298,1,False,True,False,False,11,1,10,11,4259,North,West,4358
4,2,18,17,-1,-1,16,1,17,297,1,True,False,False,False,1,2,11,10,4358,West,West,4357
4,2,17,16,-1,-1,15,1,16,297,1,False,False,False,False,11,5,12,9,4357,West,West,4456
4,2,16,15,-1,-1,14,1,15,296,1,False,False,False,False,11,5,13,8,4456,West,West,4555
4,2,15,14,-1,-1,13,1,14,295,1,True,False,False,False,1,2,14,7,4555,West,West,4654
4,2,14,13,-1,-1,12,1,13,294,1,False,False,False,False,11,5,15,6,4654,West,West,4753
4,2,13,12,-1,-1,11,1,12,293,1,False,False,False,False,11,5,16,5,4753,West,West,4852
4,2,12,11,-1,-1,10,1,11,292,1,True,False,False,False,1,2,17,4,4852,West,West,4951
4,2,11,10,-1,-1,9,1,10,291,1,False,False,False,False,4,5,18,3,4951,West,West,5050
4,2,10,9,-1,-1,8,1,9,290,1,False,False,False,False,11,5,19,2,5050,West,West,5149
4,2,9,10,-1,-1,9,0,9,289,1,False,False,False,True,10,6,2,1,5149,West,North,5248
4,2,10,11,-1,-1,9,1,10,288,1,False,False,False,False,9,7,10,10,5248,North,North,5347
4,2,9,10,-1,-1,8,1,9,287,1,True,True,False,False,1,1,11,9,5347,North,West,5446
4,2,8,9,-1,-1,7,1,8,286,1,False,False,False,False,9,2,12,8,5446,West,West,5545
4,2,7,8,-1,-1,6,1,7,285,1,False,False,False,False,4,7,13,7,5545,West,West,5644
4,2,6,7,-1,-1,5,1,6,284,1,True,True,False,False,1,1,14,6,5644,West,West,5743
4,2,5,6,-1,-1,4,1,5,283,1,False,False,False,False,4,7,15,5,5743,West,West,5842
4,2,4,5,-1,-1,3,1,4,282,1,False,False,False,False,4,7,16,4,5842,West,West,5941
4,2,3,4,-1,-1,2,1,3,281,1,True,True,False,False,1,1,17,3,5941,West,West,6040
4,2,2,3,-1,-1,1,1,2,280,1,False,False,False,False,9,7,18,2,6040,West,West,6139
4,2,1,4,-1,-1,0,1,1,279,1,False,False,False,True,9,7,19,1,6139,West,West,6338
4,1,-1,3,-1,-1,1,2,3,279,1,False,False,False,True,10,6,2,1,6338,West,South,6437
4,1,-1,2,-1,-1,0,2,2,278,1,False,False,True,False,10,6,1,2,6437,South,East,6536
4,4,12,9,5,3,0,2,2,1,6,False,False,False,False,5,8,6,8,-1,Stop,East,-2
4,4,14,7,5,1,1,1,2,1,7,False,False,False,False,4,9,6,13,-2,East,North,197
4,3,15,7,7,-1,6,1,7,1,6,False,False,False,False,4,9,5,14,197,North,East,196
4,3,15,5,5,-1,4,1,5,1,7,False,False,False,False,4,9,6,13,196,East,West,195
4,3,13,3,5,-1,2,1,3,1,8,False,False,False,False,4,9,7,12,195,West,West,194
4,3,11,2,7,-1,1,1,2,1,9,False,False,False,False,4,9,8,11,194,West,West,193
4,3,9,1,9,-1,0,1,1,1,10,False,False,False,False,4,9,9,10,193,West,West,392
4,2,9,-1,11,-1,3,6,9,1,11,False,False,False,False,3,10,9,10,392,West,North,391
4,2,8,-1,13,-1,2,6,8,1,12,False,False,False,False,3,10,10,9,391,North,West,390
4,2,8,-1,15,-1,2,6,8,1,13,False,False,False,False,3,10,11,8,390,West,West,389
4,2,6,-1,15,-1,0,6,6,1,14,False,False,False,False,3,10,12,7,389,West,West,388
4,2,6,-1,14,-1,1,5,6,1,13,False,False,False,False,4,9,12,7,388,West,South,387
4,2,6,-1,14,-1,1,5,6,1,14,False,False,False,False,4,9,13,6,387,South,West,386
4,2,6,-1,12,-1,1,5,6,1,13,False,False,False,False,4,9,12,7,386,West,East,385
4,2,6,-1,11,-1,1,5,6,1,12,False,False,False,False,4,9,11,8,385,East,East,384
4,2,5,-1,13,-1,0,5,5,1,13,False,False,False,False,4,9,12,7,384,East,West,383
4,2,5,-1,13,-1,0,5,5,1,12,False,False,False,False,5,8,12,2,383,West,South,382
4,2,5,-1,11,-1,1,4,5,1,11,False,False,False,False,6,7,12,7,382,South,South,381
4,2,5,-1,13,-1,1,4,5,1,12,False,False,False,False,6,7,13,6,381,South,West,380
4,2,5,-1,13,-1,1,4,5,1,11,False,False,False,False,6,7,12,7,380,West,East,379
4,2,3,-1,11,-1,0,3,3,1,10,False,False,False,False,6,7,11,8,379,East,East,378
