@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R13-16,19-21,28-31-weka.filters.unsupervised.attribute.Remove-R16'

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute columna_fantasma_mas_cercano numeric
@attribute fila_fantasma_mas_cercano numeric
@attribute num_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
6,11,4,2,7,6,3,1,13,4,7,1,7,6,1,False,False,False,False,387,South,West,386
7,11,4,2,8,6,3,1,13,5,7,1,8,6,1,False,False,False,False,386,West,East,385
8,11,4,2,7,6,3,1,13,5,7,1,7,6,1,False,False,False,False,385,East,East,384
7,11,4,2,7,6,3,1,14,5,7,1,7,6,1,False,False,False,False,384,East,West,383
7,10,4,2,7,5,3,1,15,5,7,1,7,5,1,False,False,False,False,383,West,South,382
7,9,4,2,6,5,3,1,15,6,7,1,6,5,1,False,False,False,False,382,South,South,381
6,9,4,2,7,5,3,1,16,6,7,1,7,5,1,False,False,False,False,381,South,West,380
7,9,4,2,8,5,3,1,16,5,7,1,8,5,1,False,False,False,False,380,West,East,379
8,9,4,2,8,6,3,1,15,5,7,1,8,6,1,False,False,False,False,379,East,East,378
8,8,4,2,8,5,3,1,15,6,7,1,8,5,1,False,False,False,False,378,East,South,377
8,7,4,2,8,6,3,1,15,6,7,1,8,6,1,False,False,False,False,377,South,South,576
8,6,4,1,1,1,3,1,15,7,7,1,15,7,1,False,False,False,False,576,South,South,575
9,6,4,1,1,1,3,1,16,7,7,1,16,7,1,False,False,False,False,575,South,East,574
10,6,4,1,1,1,3,1,16,8,7,1,16,8,1,False,False,False,False,574,East,East,573
11,6,4,1,1,1,3,1,16,8,7,1,16,8,1,False,False,False,False,573,East,East,572
12,6,4,1,1,1,3,1,15,8,7,1,15,8,1,False,False,False,False,572,East,East,571
13,6,4,1,1,1,3,1,15,9,7,1,15,9,1,False,False,False,False,571,East,East,570
14,6,4,1,1,1,3,1,15,9,7,1,15,9,1,False,False,False,False,570,East,East,569
15,6,4,1,1,1,3,1,15,10,7,1,15,10,1,False,False,False,False,569,East,East,568
15,7,4,1,1,1,3,1,14,10,7,1,14,10,1,False,False,False,False,568,East,North,567
14,7,4,1,1,1,3,1,14,9,7,1,14,9,1,False,False,False,False,567,North,West,566
14,8,4,1,1,1,3,1,14,10,7,1,14,10,1,False,False,False,False,566,West,North,565
2,6,4,4,7,4,8,6,10,3,16,6,8,6,0,True,True,False,False,-1,Stop,East,-2
3,6,4,4,8,4,9,6,10,4,17,6,9,6,0,True,True,False,False,-2,East,East,-3
4,6,4,4,8,3,10,6,10,3,18,6,10,6,0,True,True,False,False,-3,East,East,-4
5,6,4,4,7,3,11,6,11,3,18,5,7,3,0,True,True,False,False,-4,East,East,-5
6,6,4,4,7,3,11,6,11,4,18,6,7,3,0,True,True,False,False,-5,East,East,-6
7,6,4,4,8,3,12,6,10,4,18,6,8,3,0,True,False,False,False,-6,East,East,-7
7,5,4,4,8,4,12,6,11,4,18,6,8,4,0,False,False,True,True,-7,East,South,-8
7,4,4,4,8,3,11,6,11,3,18,5,8,3,0,False,False,False,False,-8,South,South,-9
8,4,4,4,9,3,10,6,11,4,18,5,9,3,0,True,False,False,False,-9,South,East,-10
